Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,62500
Sample Interval,125
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-28.875
1.250e+02,-19.9312
2.500e+02,-10.9875
3.750e+02,-11.9906
5.000e+02,-12.9937
6.250e+02,-24.1938
7.500e+02,-35.3906
8.750e+02,-37.5469
1.000e+03,-39.7
1.125e+03,-46.6094
1.250e+03,-53.5187
1.375e+03,-51.5312
1.500e+03,-49.5406
1.625e+03,-51.5312
1.750e+03,-53.5187
1.875e+03,-55.5094
2.000e+03,-57.5
2.125e+03,-52.6688
2.250e+03,-47.8375
2.375e+03,-50.9094
2.500e+03,-53.9781
2.625e+03,-55.2563
2.750e+03,-56.5312
2.875e+03,-55.5125
3.000e+03,-54.4906
3.125e+03,-55.5125
3.250e+03,-56.5312
3.375e+03,-54.4562
3.500e+03,-52.3813
3.625e+03,-53.4375
3.750e+03,-54.4906
3.875e+03,-55.5125
4.000e+03,-56.5312
4.125e+03,-57.0156
4.250e+03,-57.5
4.375e+03,-54.0063
4.500e+03,-50.5094
4.625e+03,-55.5094
4.750e+03,-60.5094
4.875e+03,-58.5219
5.000e+03,-56.5312
5.125e+03,-55.025
5.250e+03,-53.5187
5.375e+03,-55.025
5.500e+03,-56.5312
5.625e+03,-54.4562
5.750e+03,-52.3813
5.875e+03,-52.95
6.000e+03,-53.5187
6.125e+03,-55.025
6.250e+03,-56.5312
6.375e+03,-56.5312
6.500e+03,-56.5312
6.625e+03,-56.5312
6.750e+03,-56.5312
6.875e+03,-53.875
7.000e+03,-51.2156
7.125e+03,-54.3594
7.250e+03,-57.5
7.375e+03,-55.9969
7.500e+03,-54.4906
7.625e+03,-54.4906
7.750e+03,-54.4906
7.875e+03,-54.4906
8.000e+03,-54.4906
8.125e+03,-52.8531
8.250e+03,-51.2156
8.375e+03,-55.8625
8.500e+03,-60.5094
8.625e+03,-58.5219
8.750e+03,-56.5312
8.875e+03,-55.025
9.000e+03,-53.5187
9.125e+03,-52.95
9.250e+03,-52.3813
9.375e+03,-57.95
9.500e+03,-63.5187
9.625e+03,-56.2094
9.750e+03,-48.8969
9.875e+03,-53.2
1.000e+04,-57.5
1.012e+04,-57.0156
1.025e+04,-56.5312
1.038e+04,-55.5125
1.050e+04,-54.4906
1.062e+04,-57.5
1.075e+04,-60.5094
1.088e+04,-57.0156
1.100e+04,-53.5187
1.112e+04,-53.75
1.125e+04,-53.9781
1.138e+04,-53.75
1.150e+04,-53.5187
1.162e+04,-55.5094
1.175e+04,-57.5
1.188e+04,-54.2344
1.200e+04,-50.9688
1.212e+04,-53.75
1.225e+04,-56.5312
1.238e+04,-56.5312
1.250e+04,-56.5312
1.262e+04,-56.5312
1.275e+04,-56.5312
1.288e+04,-55.5125
1.300e+04,-54.4906
1.312e+04,-57.5
1.325e+04,-60.5094
1.338e+04,-55.8625
1.350e+04,-51.2156
1.362e+04,-54.3594
1.375e+04,-57.5
1.388e+04,-55.9969
1.400e+04,-54.4906
1.412e+04,-55.9969
1.425e+04,-57.5
1.438e+04,-57.0156
1.450e+04,-56.5312
1.462e+04,-56.5312
1.475e+04,-56.5312
1.488e+04,-55.025
1.500e+04,-53.5187
1.512e+04,-57.0156
1.525e+04,-60.5094
1.538e+04,-60.5094
1.550e+04,-60.5094
1.562e+04,-58.5219
1.575e+04,-56.5312
1.588e+04,-57.0156
1.600e+04,-57.5
1.612e+04,-55.5094
1.625e+04,-53.5187
1.638e+04,-55.5094
1.650e+04,-57.5
1.662e+04,-59.0063
1.675e+04,-60.5094
1.688e+04,-58.5219
1.700e+04,-56.5312
1.712e+04,-56.5312
1.725e+04,-56.5312
1.738e+04,-56.5312
1.750e+04,-56.5312
1.762e+04,-56.5312
1.775e+04,-56.5312
1.788e+04,-58.5219
1.800e+04,-60.5094
1.812e+04,-57.0156
1.825e+04,-53.5187
1.838e+04,-53.75
1.850e+04,-53.9781
1.862e+04,-58.75
1.875e+04,-63.5187
1.888e+04,-55.2531
1.900e+04,-46.9875
1.912e+04,-55.2531
1.925e+04,-63.5187
1.938e+04,-57.95
1.950e+04,-52.3813
1.962e+04,-53.1812
1.975e+04,-53.9781
1.988e+04,-57.2438
2.000e+04,-60.5094
2.012e+04,-60.5094
2.025e+04,-60.5094
2.038e+04,-57.2438
2.050e+04,-53.9781
2.062e+04,-55.2563
2.075e+04,-56.5312
2.088e+04,-58.5219
2.100e+04,-60.5094
2.112e+04,-58.5219
2.125e+04,-56.5312
2.138e+04,-58.5219
2.150e+04,-60.5094
2.162e+04,-58.5219
2.175e+04,-56.5312
2.188e+04,-57.0156
2.200e+04,-57.5
2.212e+04,-57.0156
2.225e+04,-56.5312
2.238e+04,-58.5219
2.250e+04,-60.5094
2.262e+04,-58.5219
2.275e+04,-56.5312
2.288e+04,-58.5219
2.300e+04,-60.5094
2.312e+04,-60.5094
2.325e+04,-60.5094
2.338e+04,-58.5219
2.350e+04,-56.5312
2.362e+04,-56.5312
2.375e+04,-56.5312
2.388e+04,-58.5219
2.400e+04,-60.5094
2.412e+04,-60.5094
2.425e+04,-60.5094
2.438e+04,-60.5094
2.450e+04,-60.5094
2.462e+04,-60.5094
2.475e+04,-60.5094
2.488e+04,-60.5094
2.500e+04,-60.5094
2.512e+04,-58.5219
2.525e+04,-56.5312
2.538e+04,-58.5219
2.550e+04,-60.5094
2.562e+04,-60.5094
2.575e+04,-60.5094
2.588e+04,-60.5094
2.600e+04,-60.5094
2.612e+04,-60.5094
2.625e+04,-60.5094
2.638e+04,-57.5
2.650e+04,-54.4906
2.662e+04,-55.5125
2.675e+04,-56.5312
2.688e+04,-58.5219
2.700e+04,-60.5094
2.712e+04,-57.5
2.725e+04,-54.4906
2.738e+04,-55.5125
2.750e+04,-56.5312
2.762e+04,-58.5219
2.775e+04,-60.5094
2.788e+04,-57.5
2.800e+04,-54.4906
2.812e+04,-55.5125
2.825e+04,-56.5312
2.838e+04,-58.5219
2.850e+04,-60.5094
2.862e+04,-62.0156
2.875e+04,-63.5187
2.888e+04,-60.025
2.900e+04,-56.5312
2.912e+04,-56.5312
2.925e+04,-56.5312
2.938e+04,-58.5219
2.950e+04,-60.5094
2.962e+04,-58.5219
2.975e+04,-56.5312
2.988e+04,-56.5312
3.000e+04,-56.5312
3.012e+04,-56.5312
3.025e+04,-56.5312
3.038e+04,-58.5219
3.050e+04,-60.5094
3.062e+04,-58.5219
3.075e+04,-56.5312
3.088e+04,-58.5219
3.100e+04,-60.5094
3.112e+04,-60.5094
3.125e+04,-60.5094
3.138e+04,-58.5219
3.150e+04,-56.5312
3.162e+04,-56.5312
3.175e+04,-56.5312
3.188e+04,-55.025
3.200e+04,-53.5187
3.212e+04,-55.025
3.225e+04,-56.5312
3.238e+04,-55.5125
3.250e+04,-54.4906
3.262e+04,-55.5125
3.275e+04,-56.5312
3.288e+04,-55.5125
3.300e+04,-54.4906
3.312e+04,-57.5
3.325e+04,-60.5094
3.338e+04,-58.5219
3.350e+04,-56.5312
3.362e+04,-55.5125
3.375e+04,-54.4906
3.388e+04,-55.9969
3.400e+04,-57.5
3.412e+04,-57.0156
3.425e+04,-56.5312
3.438e+04,-56.5312
3.450e+04,-56.5312
3.462e+04,-58.5219
3.475e+04,-60.5094
3.488e+04,-58.5219
3.500e+04,-56.5312
3.512e+04,-55.025
3.525e+04,-53.5187
3.538e+04,-53.5187
3.550e+04,-53.5187
3.562e+04,-55.025
3.575e+04,-56.5312
3.588e+04,-58.5219
3.600e+04,-60.5094
3.612e+04,-60.5094
3.625e+04,-60.5094
3.638e+04,-60.5094
3.650e+04,-60.5094
3.662e+04,-58.5219
3.675e+04,-56.5312
3.688e+04,-58.5219
3.700e+04,-60.5094
3.712e+04,-58.5219
3.725e+04,-56.5312
3.738e+04,-56.5312
3.750e+04,-56.5312
3.762e+04,-56.5312
3.775e+04,-56.5312
3.788e+04,-56.5312
3.800e+04,-56.5312
3.812e+04,-56.5312
3.825e+04,-56.5312
3.838e+04,-56.5312
3.850e+04,-56.5312
3.862e+04,-56.5312
3.875e+04,-56.5312
3.888e+04,-58.5219
3.900e+04,-60.5094
3.912e+04,-58.5219
3.925e+04,-56.5312
3.938e+04,-55.5125
3.950e+04,-54.4906
3.962e+04,-59.0063
3.975e+04,-63.5187
3.988e+04,-57.95
4.000e+04,-52.3813
4.012e+04,-56.4469
4.025e+04,-60.5094
4.038e+04,-60.5094
4.050e+04,-60.5094
4.062e+04,-60.5094
4.075e+04,-60.5094
4.088e+04,-57.5
4.100e+04,-54.4906
4.112e+04,-57.5
4.125e+04,-60.5094
4.138e+04,-60.5094
4.150e+04,-60.5094
4.162e+04,-57.5
4.175e+04,-54.4906
4.188e+04,-57.5
4.200e+04,-60.5094
4.212e+04,-57.0156
4.225e+04,-53.5187
4.238e+04,-58.5187
4.250e+04,-63.5187
4.262e+04,-59.0063
4.275e+04,-54.4906
4.288e+04,-54.4906
4.300e+04,-54.4906
4.312e+04,-55.5125
4.325e+04,-56.5312
4.338e+04,-58.5219
4.350e+04,-60.5094
4.362e+04,-57.5
4.375e+04,-54.4906
4.388e+04,-55.5125
4.400e+04,-56.5312
4.412e+04,-55.5125
4.425e+04,-54.4906
4.438e+04,-55.5125
4.450e+04,-56.5312
4.462e+04,-55.5125
4.475e+04,-54.4906
4.488e+04,-55.5125
4.500e+04,-56.5312
4.512e+04,-58.5219
4.525e+04,-60.5094
4.538e+04,-58.5219
4.550e+04,-56.5312
4.562e+04,-55.5125
4.575e+04,-54.4906
4.588e+04,-57.5
4.600e+04,-60.5094
4.612e+04,-60.5094
4.625e+04,-60.5094
4.638e+04,-58.5219
4.650e+04,-56.5312
4.662e+04,-56.5312
4.675e+04,-56.5312
4.688e+04,-58.5219
