Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-7.81562
1.250e+01,5.49688
2.500e+01,18.8094
3.750e+01,24.1844
5.000e+01,29.5625
6.250e+01,28.5344
7.500e+01,27.5094
8.750e+01,18.6469
1.000e+02,9.7875
1.125e+02,1.32812
1.250e+02,-7.12812
1.375e+02,3.94688
1.500e+02,15.025
1.625e+02,17.7906
1.750e+02,20.5594
1.875e+02,17.4656
2.000e+02,14.375
2.125e+02,4.66875
2.250e+02,-5.0375
2.375e+02,-4.4375
2.500e+02,-3.8375
2.625e+02,5.04063
2.750e+02,13.9188
2.875e+02,14.6063
3.000e+02,15.2969
3.125e+02,9.9375
3.250e+02,4.57812
3.375e+02,-0.29375
3.500e+02,-5.1625
3.625e+02,-1.3
3.750e+02,2.56563
3.875e+02,7.66875
4.000e+02,12.7719
4.125e+02,11.4406
4.250e+02,10.1125
4.375e+02,3.15938
4.500e+02,-3.79375
4.625e+02,-5.28437
4.750e+02,-6.775
4.875e+02,-0.434375
5.000e+02,5.90938
5.125e+02,8.37813
5.250e+02,10.8469
5.375e+02,7.63125
5.500e+02,4.41875
5.625e+02,-0.415625
5.750e+02,-5.25
5.875e+02,-6.18437
6.000e+02,-7.11875
6.125e+02,0.075
6.250e+02,7.26875
6.375e+02,7.65625
6.500e+02,8.04375
6.625e+02,3.0125
6.750e+02,-2.01562
6.875e+02,-3.31562
7.000e+02,-4.61563
7.125e+02,-3.23438
7.250e+02,-1.85
7.375e+02,2.74688
7.500e+02,7.34688
7.625e+02,5.84375
7.750e+02,4.34063
7.875e+02,-0.634375
8.000e+02,-5.60938
8.125e+02,-6.43125
8.250e+02,-7.25
8.375e+02,-2.74375
8.500e+02,1.76562
8.625e+02,4.00938
8.750e+02,6.25625
8.875e+02,2.74063
9.000e+02,-0.775
9.125e+02,-2.82812
9.250e+02,-4.87812
9.375e+02,-7.09375
9.500e+02,-9.30625
9.625e+02,-2.80937
9.750e+02,3.6875
9.875e+02,3.72813
1.000e+03,3.77188
1.012e+03,-0.503125
1.025e+03,-4.775
1.038e+03,-5.275
1.050e+03,-5.77188
1.062e+03,-5.24375
1.075e+03,-4.71562
1.088e+03,-0.321875
1.100e+03,4.07188
1.112e+03,2.125
1.125e+03,0.18125
1.138e+03,-2.8875
1.150e+03,-5.95625
1.162e+03,-6.65312
1.175e+03,-7.35
1.188e+03,-4
1.200e+03,-0.646875
1.212e+03,1.02188
1.225e+03,2.69375
1.238e+03,-0.421875
1.250e+03,-3.53437
1.262e+03,-4.38125
1.275e+03,-5.225
1.288e+03,-7.33438
1.300e+03,-9.44062
1.312e+03,-4.22812
1.325e+03,0.984375
1.338e+03,0.79375
1.350e+03,0.603125
1.362e+03,-2.96875
1.375e+03,-6.54062
1.388e+03,-5.95938
1.400e+03,-5.375
1.412e+03,-5.85312
1.425e+03,-6.33125
1.438e+03,-2.57187
1.450e+03,1.19063
1.462e+03,-0.75
1.475e+03,-2.6875
1.488e+03,-4.29062
1.500e+03,-5.89375
1.512e+03,-6.94062
1.525e+03,-7.9875
1.538e+03,-5.59687
1.550e+03,-3.20625
1.562e+03,-1.49062
1.575e+03,0.228125
1.588e+03,-2.98438
1.600e+03,-6.19375
1.612e+03,-5.6375
1.625e+03,-5.07812
1.638e+03,-8.10625
1.650e+03,-11.1344
1.662e+03,-6.04688
1.675e+03,-0.95625
1.688e+03,-1.59062
1.700e+03,-2.22187
1.712e+03,-4.50937
1.725e+03,-6.79688
1.738e+03,-6.6375
1.750e+03,-6.47812
1.762e+03,-7.29062
1.775e+03,-8.1
1.788e+03,-4.50625
1.800e+03,-0.9125
1.812e+03,-3.04375
1.825e+03,-5.17188
1.838e+03,-5.59687
1.850e+03,-6.02188
1.862e+03,-7.24687
1.875e+03,-8.47187
1.888e+03,-6.50312
1.900e+03,-4.53125
1.912e+03,-3.54375
1.925e+03,-2.55313
1.938e+03,-5.01875
1.950e+03,-7.48438
1.962e+03,-6.46562
1.975e+03,-5.44375
1.988e+03,-8.4
2.000e+03,-11.3531
2.012e+03,-7.37812
2.025e+03,-3.40312
2.038e+03,-3.93125
2.050e+03,-4.45625
2.062e+03,-5.91875
2.075e+03,-7.38125
2.088e+03,-6.73438
2.100e+03,-6.08438
2.112e+03,-7.9125
2.125e+03,-9.74062
2.138e+03,-6.40937
2.150e+03,-3.07812
2.162e+03,-5.21875
2.175e+03,-7.35625
2.188e+03,-6.4875
2.200e+03,-5.61563
2.212e+03,-7.49375
2.225e+03,-9.37187
2.238e+03,-7.975
2.250e+03,-6.575
2.262e+03,-5.575
2.275e+03,-4.575
2.288e+03,-6.575
2.300e+03,-8.575
2.312e+03,-7.1
2.325e+03,-5.62187
2.338e+03,-9.13437
2.350e+03,-12.6437
2.362e+03,-8.7375
2.375e+03,-4.83125
2.388e+03,-5.90937
2.400e+03,-6.9875
2.412e+03,-6.96875
2.425e+03,-6.95
2.438e+03,-7.0125
2.450e+03,-7.07187
2.462e+03,-8.68125
2.475e+03,-10.2906
2.488e+03,-7.69062
2.500e+03,-5.0875
2.512e+03,-7.06562
2.525e+03,-9.04375
2.538e+03,-7.65937
2.550e+03,-6.27188
2.562e+03,-7.93125
2.575e+03,-9.59062
2.588e+03,-8.7625
2.600e+03,-7.93125
2.612e+03,-7.45625
2.625e+03,-6.97812
2.638e+03,-7.925
2.650e+03,-8.86875
2.662e+03,-7.45938
2.675e+03,-6.04688
2.688e+03,-9.8625
2.700e+03,-13.675
2.712e+03,-10.3625
2.725e+03,-7.05
2.738e+03,-7.97812
2.750e+03,-8.90312
2.762e+03,-8.29062
2.775e+03,-7.675
2.788e+03,-7.40625
2.800e+03,-7.1375
2.812e+03,-9.95
2.825e+03,-12.7594
2.838e+03,-10.2062
2.850e+03,-7.65312
2.862e+03,-9.14375
2.875e+03,-10.6344
2.888e+03,-8.425
2.900e+03,-6.2125
2.912e+03,-8.69375
2.925e+03,-11.175
2.938e+03,-10.5531
2.950e+03,-9.92812
2.962e+03,-9.42188
2.975e+03,-8.91562
2.988e+03,-8.8125
3.000e+03,-8.70625
3.012e+03,-7.51562
3.025e+03,-6.32187
3.038e+03,-11.0125
3.050e+03,-15.7031
3.062e+03,-12.3219
3.075e+03,-8.94062
3.088e+03,-10.3094
3.100e+03,-11.675
3.112e+03,-9.325
3.125e+03,-6.97187
3.138e+03,-7.46562
3.150e+03,-7.95938
3.162e+03,-10.7906
3.175e+03,-13.6219
3.188e+03,-11.4437
3.200e+03,-9.26562
3.212e+03,-9.97187
3.225e+03,-10.6781
3.238e+03,-8.69062
3.250e+03,-6.70312
3.262e+03,-8.89375
3.275e+03,-11.0812
3.288e+03,-11.1625
3.300e+03,-11.2437
3.312e+03,-11.4812
3.325e+03,-11.7188
3.338e+03,-10.475
3.350e+03,-9.22812
3.362e+03,-7.88125
3.375e+03,-6.53437
3.388e+03,-11.2781
3.400e+03,-16.0219
3.412e+03,-13.7937
3.425e+03,-11.5625
3.438e+03,-11.875
3.450e+03,-12.1844
3.462e+03,-9.85
3.475e+03,-7.51562
3.488e+03,-7.99063
3.500e+03,-8.46562
3.512e+03,-12.3125
3.525e+03,-16.1562
3.538e+03,-13.9156
3.550e+03,-11.675
3.562e+03,-11.9156
3.575e+03,-12.1531
3.588e+03,-9.35938
3.600e+03,-6.5625
3.612e+03,-9.91562
3.625e+03,-13.2687
3.638e+03,-13.3969
3.650e+03,-13.5219
3.662e+03,-13.6
3.675e+03,-13.675
3.688e+03,-11.4406
3.700e+03,-9.20312
3.712e+03,-8.43437
3.725e+03,-7.66562
3.738e+03,-13.2812
3.750e+03,-18.8969
3.762e+03,-15.7094
3.775e+03,-12.5187
3.788e+03,-13.5062
3.800e+03,-14.4906
3.812e+03,-10.925
3.825e+03,-7.35625
3.838e+03,-8.40937
3.850e+03,-9.45937
3.862e+03,-13.3531
3.875e+03,-17.2469
3.888e+03,-15.9125
3.900e+03,-14.5781
3.912e+03,-12.7969
3.925e+03,-11.0156
3.938e+03,-9.175
3.950e+03,-7.33125
3.962e+03,-9.925
3.975e+03,-12.5187
3.988e+03,-14.2906
4.000e+03,-16.0625
4.012e+03,-16.2969
4.025e+03,-16.5312
4.038e+03,-13.0844
4.050e+03,-9.63437
4.062e+03,-8.68125
4.075e+03,-7.72812
4.088e+03,-13.7062
4.100e+03,-19.6812
4.112e+03,-18.4656
4.125e+03,-17.2469
4.138e+03,-15.8781
4.150e+03,-14.5062
4.162e+03,-10.9187
4.175e+03,-7.33125
4.188e+03,-8.6
4.200e+03,-9.86875
4.212e+03,-16.0281
4.225e+03,-22.1844
4.238e+03,-19.7906
4.250e+03,-17.3937
4.262e+03,-14.9625
4.275e+03,-12.5312
4.288e+03,-9.90312
4.300e+03,-7.275
4.312e+03,-11.3687
4.325e+03,-15.4594
4.338e+03,-17.9625
4.350e+03,-20.4656
4.362e+03,-19.6656
4.375e+03,-18.8656
4.388e+03,-13.8531
4.400e+03,-8.8375
4.412e+03,-8.86875
4.425e+03,-8.89687
4.438e+03,-14.7031
4.450e+03,-20.5094
4.462e+03,-19.5312
4.475e+03,-18.55
4.488e+03,-16.9719
4.500e+03,-15.3906
4.512e+03,-11.7031
4.525e+03,-8.0125
4.538e+03,-9.56875
4.550e+03,-11.125
4.562e+03,-18.3969
4.575e+03,-25.6656
4.588e+03,-25.5281
4.600e+03,-25.3906
4.612e+03,-18.5406
4.625e+03,-11.6906
4.638e+03,-9.9625
4.650e+03,-8.23438
4.662e+03,-11.6781
4.675e+03,-15.1187
4.688e+03,-19.3187
4.700e+03,-23.5188
4.712e+03,-21.7969
4.725e+03,-20.075
4.738e+03,-14.9875
4.750e+03,-9.89687
