Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,62500
Sample Interval,125
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,0.1375
1.250e+02,4.15
2.500e+02,8.16563
3.750e+02,6.39375
5.000e+02,4.625
6.250e+02,0.484375
7.500e+02,-3.65625
8.750e+02,-2.7875
1.000e+03,-1.91875
1.125e+03,-6.31875
1.250e+03,-10.7188
1.375e+03,-8.13437
1.500e+03,-5.54688
1.625e+03,-8.36562
1.750e+03,-11.1844
1.875e+03,-10.5594
2.000e+03,-9.93125
2.125e+03,-10.05
2.250e+03,-10.1656
2.375e+03,-12.8969
2.500e+03,-15.6281
2.625e+03,-13.1719
2.750e+03,-10.7125
2.875e+03,-14.2562
3.000e+03,-17.7969
3.125e+03,-15.4719
3.250e+03,-13.1437
3.375e+03,-14.15
3.500e+03,-15.1562
3.625e+03,-16.3125
3.750e+03,-17.4688
3.875e+03,-15.85
4.000e+03,-14.2281
4.125e+03,-17.8094
4.250e+03,-21.3906
4.375e+03,-18.4312
4.500e+03,-15.4688
4.625e+03,-17.3469
4.750e+03,-19.2219
4.875e+03,-18.8562
5.000e+03,-18.4875
5.125e+03,-17.8438
5.250e+03,-17.2
5.375e+03,-19.9812
5.500e+03,-22.7594
5.625e+03,-20.1031
5.750e+03,-17.4469
5.875e+03,-20.0531
6.000e+03,-22.6594
6.125e+03,-20.9688
6.250e+03,-19.275
6.375e+03,-19.5812
6.500e+03,-19.8844
6.625e+03,-21.425
6.750e+03,-22.9625
6.875e+03,-21.0844
7.000e+03,-19.2031
7.125e+03,-22.2844
7.250e+03,-25.3656
7.375e+03,-22.775
7.500e+03,-20.1844
7.625e+03,-21.4531
7.750e+03,-22.7219
7.875e+03,-22.8594
8.000e+03,-22.9969
8.125e+03,-22.0813
8.250e+03,-21.1625
8.375e+03,-24.0688
8.500e+03,-26.9719
8.625e+03,-24.0469
8.750e+03,-21.1219
8.875e+03,-23.3156
9.000e+03,-25.5063
9.125e+03,-24.2375
9.250e+03,-22.9656
9.375e+03,-23.0188
9.500e+03,-23.0719
9.625e+03,-25.1656
9.750e+03,-27.2563
9.875e+03,-24.6812
1.000e+04,-22.1031
1.012e+04,-25.2781
1.025e+04,-28.45
1.038e+04,-25.8469
1.050e+04,-23.2437
1.062e+04,-24.2875
1.075e+04,-25.3281
1.088e+04,-26.1406
1.100e+04,-26.95
1.112e+04,-25.1562
1.125e+04,-23.3625
1.138e+04,-27.1375
1.150e+04,-30.9125
1.162e+04,-27.2406
1.175e+04,-23.5687
1.188e+04,-25.6031
1.200e+04,-27.6344
1.212e+04,-27.1313
1.225e+04,-26.625
1.238e+04,-25.575
1.250e+04,-24.5219
1.262e+04,-28
1.275e+04,-31.475
1.288e+04,-27.7906
1.300e+04,-24.1062
1.312e+04,-27.0938
1.325e+04,-30.0812
1.338e+04,-28.3
1.350e+04,-26.5187
1.362e+04,-26.325
1.375e+04,-26.1281
1.388e+04,-28.5281
1.400e+04,-30.925
1.412e+04,-27.8656
1.425e+04,-24.8062
1.438e+04,-28.3656
1.450e+04,-31.925
1.462e+04,-29.1906
1.475e+04,-26.4562
1.488e+04,-27.0625
1.500e+04,-27.6687
1.512e+04,-28.9094
1.525e+04,-30.1469
1.538e+04,-27.975
1.550e+04,-25.8
1.562e+04,-29.3969
1.575e+04,-32.9906
1.588e+04,-29.8312
1.600e+04,-26.6687
1.612e+04,-28.1625
1.625e+04,-29.6562
1.638e+04,-29.6
1.650e+04,-29.5437
1.662e+04,-28.2281
1.675e+04,-26.9094
1.688e+04,-29.925
1.700e+04,-32.9375
1.712e+04,-30.0531
1.725e+04,-27.1687
1.738e+04,-29.3656
1.750e+04,-31.5625
1.762e+04,-30.2
1.775e+04,-28.8375
1.788e+04,-28.5906
1.800e+04,-28.3438
1.812e+04,-29.9344
1.825e+04,-31.525
1.838e+04,-29.7344
1.850e+04,-27.9406
1.862e+04,-30.5812
1.875e+04,-33.2188
1.888e+04,-30.8719
1.900e+04,-28.525
1.912e+04,-29.3875
1.925e+04,-30.25
1.938e+04,-30.35
1.950e+04,-30.45
1.962e+04,-29.8062
1.975e+04,-29.1625
1.988e+04,-31.6187
2.000e+04,-34.0719
2.012e+04,-31.3531
2.025e+04,-28.6313
2.038e+04,-30.5812
2.050e+04,-32.5312
2.062e+04,-31.1687
2.075e+04,-29.8062
2.088e+04,-29.9844
2.100e+04,-30.1625
2.112e+04,-32.0312
2.125e+04,-33.9
2.138e+04,-31.475
2.150e+04,-29.05
2.162e+04,-31.8125
2.175e+04,-34.5719
2.188e+04,-32.0438
2.200e+04,-29.5156
2.212e+04,-30.6187
2.225e+04,-31.7188
2.238e+04,-32.4937
2.250e+04,-33.2687
2.262e+04,-31.4594
2.275e+04,-29.6469
2.288e+04,-33.1688
2.300e+04,-36.6906
2.312e+04,-32.9781
2.325e+04,-29.2656
2.338e+04,-31.4469
2.350e+04,-33.625
2.362e+04,-33.0938
2.375e+04,-32.5594
2.388e+04,-31.475
2.400e+04,-30.3906
2.412e+04,-33.9406
2.425e+04,-37.4875
2.438e+04,-33.4312
2.450e+04,-29.3719
2.462e+04,-32.5187
2.475e+04,-35.6656
2.488e+04,-33.6781
2.500e+04,-31.6906
2.512e+04,-31.4531
2.525e+04,-31.2156
2.538e+04,-34.1281
2.550e+04,-37.0375
2.562e+04,-33.5125
2.575e+04,-29.9875
2.588e+04,-33.9438
2.600e+04,-37.8969
2.612e+04,-34.8062
2.625e+04,-31.7156
2.638e+04,-32.0281
2.650e+04,-32.3406
2.662e+04,-34.1156
2.675e+04,-35.8875
2.688e+04,-33.075
2.700e+04,-30.2594
2.712e+04,-33.9469
2.725e+04,-37.6313
2.738e+04,-34.525
2.750e+04,-31.4156
2.762e+04,-32.7219
2.775e+04,-34.025
2.788e+04,-34.2656
2.800e+04,-34.5063
2.812e+04,-32.8719
2.825e+04,-31.2375
2.838e+04,-34.4031
2.850e+04,-37.5656
2.862e+04,-34.7812
2.875e+04,-31.9969
2.888e+04,-33.5969
2.900e+04,-35.1938
2.912e+04,-34.5
2.925e+04,-33.8062
2.938e+04,-33.0562
2.950e+04,-32.3031
2.962e+04,-34.0469
2.975e+04,-35.7906
2.988e+04,-34.1063
3.000e+04,-32.4219
3.012e+04,-34.4781
3.025e+04,-36.5312
3.038e+04,-34.7125
3.050e+04,-32.8906
3.062e+04,-33.2719
3.075e+04,-33.6531
3.088e+04,-34.2625
3.100e+04,-34.8687
3.112e+04,-33.8656
3.125e+04,-32.8625
3.138e+04,-35.0719
3.150e+04,-37.2781
3.162e+04,-35.0406
3.175e+04,-32.8031
3.188e+04,-34.1688
3.200e+04,-35.5344
3.212e+04,-34.4438
3.225e+04,-33.35
3.238e+04,-33.7875
3.250e+04,-34.225
3.262e+04,-35.5406
3.275e+04,-36.8563
3.288e+04,-34.8969
3.300e+04,-32.9375
3.312e+04,-35.3719
3.325e+04,-37.8031
3.338e+04,-35.3719
3.350e+04,-32.9375
3.362e+04,-34.25
3.375e+04,-35.5625
3.388e+04,-36.1187
3.400e+04,-36.6719
3.412e+04,-34.8969
3.425e+04,-33.1219
3.438e+04,-36.6
3.450e+04,-40.075
3.462e+04,-36.2625
3.475e+04,-32.45
3.488e+04,-35.1031
3.500e+04,-37.7563
3.512e+04,-36.6594
3.525e+04,-35.5625
3.538e+04,-34.6562
3.550e+04,-33.7469
3.562e+04,-37.7094
3.575e+04,-41.6719
3.588e+04,-37.0281
3.600e+04,-32.3813
3.612e+04,-36.0156
3.625e+04,-39.6469
3.638e+04,-37.4438
3.650e+04,-35.2406
3.662e+04,-34.8656
3.675e+04,-34.4906
3.688e+04,-37.9844
3.700e+04,-41.4781
3.712e+04,-37.0969
3.725e+04,-32.7156
3.738e+04,-36.8656
3.750e+04,-41.0156
3.762e+04,-37.9531
3.775e+04,-34.8875
3.788e+04,-35.0406
3.800e+04,-35.1938
3.812e+04,-37.4219
3.825e+04,-39.6469
3.838e+04,-36.3469
3.850e+04,-33.0438
3.862e+04,-37.6
3.875e+04,-42.1531
3.888e+04,-38.3156
3.900e+04,-34.4781
3.912e+04,-35.55
3.925e+04,-36.6187
3.938e+04,-37.3125
3.950e+04,-38.0063
3.962e+04,-36.0406
3.975e+04,-34.0719
3.988e+04,-37.2906
4.000e+04,-40.5094
4.012e+04,-37.7125
4.025e+04,-34.9156
4.038e+04,-36.425
4.050e+04,-37.9344
4.062e+04,-37.4656
4.075e+04,-36.9969
4.088e+04,-35.8969
4.100e+04,-34.7938
4.112e+04,-36.8312
4.125e+04,-38.8656
4.138e+04,-37.2
4.150e+04,-35.5344
4.162e+04,-37.2844
4.175e+04,-39.0344
4.188e+04,-37.8375
4.200e+04,-36.6375
4.212e+04,-36.3188
4.225e+04,-36
4.238e+04,-36.9188
4.250e+04,-37.8375
4.262e+04,-37.1
4.275e+04,-36.3594
4.288e+04,-38.0031
4.300e+04,-39.6469
4.312e+04,-37.7781
4.325e+04,-35.9094
4.338e+04,-36.7062
4.350e+04,-37.5
4.362e+04,-36.8781
4.375e+04,-36.2531
4.388e+04,-36.6469
4.400e+04,-37.0375
4.412e+04,-38.2062
4.425e+04,-39.3719
4.438e+04,-37.5531
4.450e+04,-35.7313
4.462e+04,-37.5094
4.475e+04,-39.2875
4.488e+04,-37.6875
4.500e+04,-36.0844
4.512e+04,-37.1906
4.525e+04,-38.2969
4.538e+04,-38.5375
4.550e+04,-38.7781
4.562e+04,-37.2219
4.575e+04,-35.6656
4.588e+04,-38.6156
4.600e+04,-41.5625
4.612e+04,-38.0938
4.625e+04,-34.6219
4.638e+04,-37.4406
4.650e+04,-40.2563
4.662e+04,-39.0781
4.675e+04,-37.8969
4.688e+04,-37.2156
4.700e+04,-36.5312
