Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-9.37187
1.250e+01,4.68125
2.500e+01,18.7344
3.750e+01,24.1437
5.000e+01,29.5563
6.250e+01,28.55
7.500e+01,27.5438
8.750e+01,18.8156
1.000e+02,10.0875
1.125e+02,2.5375
1.250e+02,-5.00937
1.375e+02,4.90938
1.500e+02,14.8281
1.625e+02,17.6938
1.750e+02,20.5594
1.875e+02,17.5438
2.000e+02,14.5312
2.125e+02,5.53125
2.250e+02,-3.46562
2.375e+02,-4.01562
2.500e+02,-4.56562
2.625e+02,4.60625
2.750e+02,13.7812
2.875e+02,14.5688
3.000e+02,15.3594
3.125e+02,10.2594
3.250e+02,5.1625
3.375e+02,0.8625
3.500e+02,-3.4375
3.625e+02,-0.784375
3.750e+02,1.87188
3.875e+02,7.27813
4.000e+02,12.6875
4.125e+02,11.4969
4.250e+02,10.3094
4.375e+02,3.95625
4.500e+02,-2.39375
4.625e+02,-3.69062
4.750e+02,-4.9875
4.875e+02,0.24375
5.000e+02,5.475
5.125e+02,8.14688
5.250e+02,10.8219
5.375e+02,7.83438
5.500e+02,4.85
5.625e+02,0.509375
5.750e+02,-3.83125
5.875e+02,-5.5375
6.000e+02,-7.24063
6.125e+02,-0.15625
6.250e+02,6.92813
6.375e+02,7.53125
6.500e+02,8.13438
6.625e+02,3.48125
6.750e+02,-1.17188
6.875e+02,-2.25937
7.000e+02,-3.34375
7.125e+02,-3.24063
7.250e+02,-3.13437
7.375e+02,1.97813
7.500e+02,7.09375
7.625e+02,5.85625
7.750e+02,4.62188
7.875e+02,0.253125
8.000e+02,-4.11563
8.125e+02,-4.60312
8.250e+02,-5.09062
8.375e+02,-2.2125
8.500e+02,0.66875
8.625e+02,3.39062
8.750e+02,6.1125
8.875e+02,3.025
9.000e+02,-0.0625
9.125e+02,-1.925
9.250e+02,-3.78437
9.375e+02,-6.34375
9.500e+02,-8.90312
9.625e+02,-2.84687
9.750e+02,3.20938
9.875e+02,3.57812
1.000e+03,3.95
1.012e+03,0.21875
1.025e+03,-3.5125
1.038e+03,-3.81562
1.050e+03,-4.11563
1.062e+03,-5.275
1.075e+03,-6.43125
1.088e+03,-1.38125
1.100e+03,3.67188
1.112e+03,2.14375
1.125e+03,0.615625
1.138e+03,-2.02188
1.150e+03,-4.65625
1.162e+03,-4.90625
1.175e+03,-5.15625
1.188e+03,-3.5125
1.200e+03,-1.86875
1.212e+03,0.378125
1.225e+03,2.62813
1.238e+03,-0.065625
1.250e+03,-2.75937
1.262e+03,-3.42188
1.275e+03,-4.08438
1.288e+03,-6.14688
1.300e+03,-8.20625
1.312e+03,-3.96875
1.325e+03,0.26875
1.338e+03,0.490625
1.350e+03,0.715625
1.362e+03,-2.4125
1.375e+03,-5.5375
1.388e+03,-4.6375
1.400e+03,-3.73438
1.412e+03,-6.10312
1.425e+03,-8.47187
1.438e+03,-3.90937
1.450e+03,0.65625
1.462e+03,-0.728125
1.475e+03,-2.10938
1.488e+03,-3.40625
1.500e+03,-4.7
1.512e+03,-5.20312
1.525e+03,-5.70625
1.538e+03,-5.23125
1.550e+03,-4.75312
1.562e+03,-2.3625
1.575e+03,0.03125
1.588e+03,-2.68437
1.600e+03,-5.39688
1.612e+03,-4.71875
1.625e+03,-4.0375
1.638e+03,-6.85938
1.650e+03,-9.67812
1.662e+03,-5.79688
1.675e+03,-1.9125
1.688e+03,-2.02812
1.700e+03,-2.14062
1.712e+03,-4.00625
1.725e+03,-5.87187
1.738e+03,-5.20312
1.750e+03,-4.53125
1.762e+03,-7.30625
1.775e+03,-10.0812
1.788e+03,-5.85938
1.800e+03,-1.63437
1.812e+03,-3.26562
1.825e+03,-4.89375
1.838e+03,-5.08125
1.850e+03,-5.26875
1.862e+03,-5.68125
1.875e+03,-6.09062
1.888e+03,-6.25312
1.900e+03,-6.41562
1.912e+03,-4.65937
1.925e+03,-2.9
1.938e+03,-4.70938
1.950e+03,-6.51875
1.962e+03,-5.46875
1.975e+03,-4.41875
1.988e+03,-6.96875
2.000e+03,-9.51562
2.012e+03,-7.075
2.025e+03,-4.63437
2.038e+03,-4.58438
2.050e+03,-4.53437
2.062e+03,-5.7125
2.075e+03,-6.8875
2.088e+03,-5.64688
2.100e+03,-4.40625
2.112e+03,-8.07187
2.125e+03,-11.7375
2.138e+03,-7.94062
2.150e+03,-4.14062
2.162e+03,-5.55937
2.175e+03,-6.97812
2.188e+03,-6
2.200e+03,-5.02188
2.212e+03,-5.94375
2.225e+03,-6.86563
2.238e+03,-7.94062
2.250e+03,-9.0125
2.262e+03,-6.95
2.275e+03,-4.8875
2.288e+03,-6.60625
2.300e+03,-8.32187
2.312e+03,-6.46875
2.325e+03,-4.6125
2.338e+03,-7.60625
2.350e+03,-10.6
2.362e+03,-8.51562
2.375e+03,-6.43125
2.388e+03,-6.7875
2.400e+03,-7.14375
2.412e+03,-6.89688
2.425e+03,-6.64688
2.438e+03,-5.89688
2.450e+03,-5.14688
2.462e+03,-8.99062
2.475e+03,-12.8312
2.488e+03,-9.65312
2.500e+03,-6.47187
2.512e+03,-7.72812
2.525e+03,-8.98438
2.538e+03,-7.20312
2.550e+03,-5.41875
2.562e+03,-6.15312
2.575e+03,-6.8875
2.588e+03,-8.86875
2.600e+03,-10.85
2.612e+03,-9.49062
2.625e+03,-8.13125
2.638e+03,-8.66875
2.650e+03,-9.20312
2.662e+03,-7.00937
2.675e+03,-4.8125
2.688e+03,-7.8375
2.700e+03,-10.8625
2.712e+03,-10.3187
2.725e+03,-9.77187
2.738e+03,-9.84375
2.750e+03,-9.9125
2.762e+03,-8.7875
2.775e+03,-7.65937
2.788e+03,-6.52812
2.800e+03,-5.39688
2.812e+03,-10.2687
2.825e+03,-15.1375
2.838e+03,-12.1187
2.850e+03,-9.1
2.862e+03,-10.0406
2.875e+03,-10.9781
2.888e+03,-8.21562
2.900e+03,-5.45
2.912e+03,-6.66562
2.925e+03,-7.88125
2.938e+03,-10.8344
2.950e+03,-13.7844
2.962e+03,-12.0562
2.975e+03,-10.325
2.988e+03,-10.0969
3.000e+03,-9.86875
3.012e+03,-7.525
3.025e+03,-5.17813
3.038e+03,-8.44687
3.050e+03,-11.7156
3.062e+03,-11.6375
3.075e+03,-11.5562
3.088e+03,-12.3875
3.100e+03,-13.2188
3.112e+03,-10.3531
3.125e+03,-7.48438
3.138e+03,-7.04375
3.150e+03,-6.60312
3.162e+03,-10.9781
3.175e+03,-15.35
3.188e+03,-13.5906
3.200e+03,-11.8312
3.212e+03,-12.1125
3.225e+03,-12.3937
3.238e+03,-9.25
3.250e+03,-6.10312
3.262e+03,-7.07812
3.275e+03,-8.05312
3.288e+03,-11.7219
3.300e+03,-15.3906
3.312e+03,-14.8312
3.325e+03,-14.2719
3.338e+03,-12.3062
3.350e+03,-10.3406
3.362e+03,-7.95312
3.375e+03,-5.56562
3.388e+03,-8.875
3.400e+03,-12.1844
3.412e+03,-14.125
3.425e+03,-16.0625
3.438e+03,-15.475
3.450e+03,-14.8875
3.462e+03,-11.5187
3.475e+03,-8.15
3.488e+03,-7.43437
3.500e+03,-6.71875
3.512e+03,-12.3625
3.525e+03,-18.0062
3.538e+03,-16.9312
3.550e+03,-15.8562
3.562e+03,-14.9062
3.575e+03,-13.9531
3.588e+03,-9.99062
3.600e+03,-6.02812
3.612e+03,-7.76562
3.625e+03,-9.5
3.638e+03,-14.4375
3.650e+03,-19.3719
3.662e+03,-18.1812
3.675e+03,-16.9875
3.688e+03,-13.5844
3.700e+03,-10.1781
3.712e+03,-8.11562
3.725e+03,-6.05313
3.738e+03,-9.33437
3.750e+03,-12.6156
3.762e+03,-15.5906
3.775e+03,-18.5656
3.788e+03,-19.6156
3.800e+03,-20.6656
3.812e+03,-14.1719
3.825e+03,-7.67813
3.838e+03,-7.55937
3.850e+03,-7.44062
3.862e+03,-12.0875
3.875e+03,-16.7344
3.888e+03,-18.975
3.900e+03,-21.2156
3.912e+03,-17.95
3.925e+03,-14.6844
3.938e+03,-10.9062
3.950e+03,-7.12812
3.962e+03,-8.23125
3.975e+03,-9.33125
3.988e+03,-16.4937
4.000e+03,-23.6531
4.012e+03,-24.0719
4.025e+03,-24.4906
4.038e+03,-17.8344
4.050e+03,-11.175
4.062e+03,-8.89687
4.075e+03,-6.61875
4.088e+03,-10.15
4.100e+03,-13.6781
4.112e+03,-22.0938
4.125e+03,-30.5094
4.138e+03,-25.2156
4.150e+03,-19.9219
4.162e+03,-14.1531
4.175e+03,-8.38437
4.188e+03,-8.10938
4.200e+03,-7.83125
4.212e+03,-13.9531
4.225e+03,-20.075
4.238e+03,-23.7344
4.250e+03,-27.3937
4.262e+03,-22.3938
4.275e+03,-17.3937
4.288e+03,-12.3094
4.300e+03,-7.225
4.312e+03,-9.37187
4.325e+03,-11.5187
4.338e+03,-19.025
4.350e+03,-26.5312
4.362e+03,-27.1844
4.375e+03,-27.8375
4.388e+03,-19.3906
4.400e+03,-10.9406
4.412e+03,-9.33437
4.425e+03,-7.725
4.438e+03,-10.975
4.450e+03,-14.225
4.462e+03,-23.8719
4.475e+03,-33.5187
4.488e+03,-29.5938
4.500e+03,-25.6656
4.512e+03,-17.2062
4.525e+03,-8.74375
4.538e+03,-8.83125
4.550e+03,-8.91562
4.562e+03,-13.9062
4.575e+03,-18.8969
4.588e+03,-21.5625
4.600e+03,-24.225
4.612e+03,-20.1781
4.625e+03,-16.1312
4.638e+03,-12.2312
4.650e+03,-8.33125
4.662e+03,-9.71875
4.675e+03,-11.1062
4.688e+03,-18.6937
4.700e+03,-26.2781
4.712e+03,-31.8906
4.725e+03,-37.5
4.738e+03,-24.6469
