Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-9.54375
1.250e+01,-1.45312
2.500e+01,6.64062
3.750e+01,12.1656
5.000e+01,17.6906
6.250e+01,16.675
7.500e+01,15.6594
8.750e+01,6.74063
1.000e+02,-2.17813
1.125e+02,-12.6656
1.250e+02,-23.1531
1.375e+02,-14.7375
1.500e+02,-6.31875
1.625e+02,-3.29062
1.750e+02,-0.2625
1.875e+02,-3.37187
2.000e+02,-6.48125
2.125e+02,-19.2344
2.250e+02,-31.9844
2.375e+02,-31.5469
2.500e+02,-31.1062
2.625e+02,-21.2594
2.750e+02,-11.4125
2.875e+02,-10.6812
3.000e+02,-9.95
3.125e+02,-15.6937
3.250e+02,-21.4375
3.375e+02,-26.1938
3.500e+02,-30.95
3.625e+02,-28.9031
3.750e+02,-26.8562
3.875e+02,-21.4844
4.000e+02,-16.1094
4.125e+02,-17.1719
4.250e+02,-18.2344
4.375e+02,-27.8687
4.500e+02,-37.5
4.625e+02,-36.65
4.750e+02,-35.7969
4.875e+02,-30.7563
5.000e+02,-25.7156
5.125e+02,-22.7469
5.250e+02,-19.7781
5.375e+02,-22.8469
5.500e+02,-25.9156
5.625e+02,-29.1281
5.750e+02,-32.3406
5.875e+02,-36.3406
6.000e+02,-40.3406
6.125e+02,-33.3312
6.250e+02,-26.3219
6.375e+02,-24.575
6.500e+02,-22.8281
6.625e+02,-29.1437
6.750e+02,-35.4594
6.875e+02,-34.125
7.000e+02,-32.7875
7.125e+02,-33.6406
7.250e+02,-34.4906
7.375e+02,-31.7344
7.500e+02,-28.975
7.625e+02,-28.9531
7.750e+02,-28.9281
7.875e+02,-33.7
8.000e+02,-38.4688
8.125e+02,-35.0406
8.250e+02,-31.6125
8.375e+02,-32.4813
8.500e+02,-33.35
8.625e+02,-30.0594
8.750e+02,-26.7656
8.875e+02,-29.475
9.000e+02,-32.1844
9.125e+02,-33.3813
9.250e+02,-34.5781
9.375e+02,-35.7188
9.500e+02,-36.8563
9.625e+02,-35.675
9.750e+02,-34.4906
9.875e+02,-31.7344
1.000e+03,-28.975
1.012e+03,-34.2062
1.025e+03,-39.4375
1.038e+03,-36.6437
1.050e+03,-33.8469
1.062e+03,-34.1688
1.075e+03,-34.4906
1.088e+03,-32.9
1.100e+03,-31.3094
1.112e+03,-30.7281
1.125e+03,-30.1437
1.138e+03,-37.3188
1.150e+03,-44.4906
1.162e+03,-42.4156
1.175e+03,-40.3406
1.188e+03,-37.2906
1.200e+03,-34.2375
1.212e+03,-33.2125
1.225e+03,-32.1844
1.238e+03,-34.05
1.250e+03,-35.9156
1.262e+03,-40.6875
1.275e+03,-45.4594
1.288e+03,-41.4813
1.300e+03,-37.5
1.312e+03,-39.7188
1.325e+03,-41.9375
1.338e+03,-38.8687
1.350e+03,-35.7969
1.362e+03,-38.0688
1.375e+03,-40.3406
1.388e+03,-42.4156
1.400e+03,-44.4906
1.412e+03,-39.4062
1.425e+03,-34.3188
1.438e+03,-41.3937
1.450e+03,-48.4688
1.462e+03,-46.9656
1.475e+03,-45.4594
1.488e+03,-40.2031
1.500e+03,-34.9469
1.512e+03,-38.4438
1.525e+03,-41.9375
1.538e+03,-39.7188
1.550e+03,-37.5
1.562e+03,-39.7188
1.575e+03,-41.9375
1.588e+03,-46.7094
1.600e+03,-51.4781
1.612e+03,-42.9
1.625e+03,-34.3188
1.638e+03,-39.4062
1.650e+03,-44.4906
1.662e+03,-41.9656
1.675e+03,-39.4375
1.688e+03,-38.1469
1.700e+03,-36.8563
1.712e+03,-37.1781
1.725e+03,-37.5
1.738e+03,-35.3281
1.750e+03,-33.1531
1.762e+03,-42.3156
1.775e+03,-51.4781
1.788e+03,-43.6375
1.800e+03,-35.7969
1.812e+03,-36.65
1.825e+03,-37.5
1.838e+03,-35.9094
1.850e+03,-34.3188
1.862e+03,-34.4062
1.875e+03,-34.4906
1.888e+03,-35.4594
1.900e+03,-36.4281
1.912e+03,-33.2719
1.925e+03,-30.1125
1.938e+03,-32.7344
1.950e+03,-35.3531
1.962e+03,-34.8375
1.975e+03,-34.3188
1.988e+03,-34.4062
2.000e+03,-34.4906
2.012e+03,-35.675
2.025e+03,-36.8563
2.038e+03,-35.1031
2.050e+03,-33.35
2.062e+03,-35.1031
2.075e+03,-36.8563
2.088e+03,-35.9031
2.100e+03,-34.9469
2.112e+03,-34.7188
2.125e+03,-34.4906
2.138e+03,-36.8344
2.150e+03,-39.175
2.162e+03,-37.0625
2.175e+03,-34.9469
2.188e+03,-37.6437
2.200e+03,-40.3406
2.212e+03,-40.9094
2.225e+03,-41.4781
2.238e+03,-40.4594
2.250e+03,-39.4375
2.262e+03,-45.4594
2.275e+03,-51.4781
2.288e+03,-45.9094
2.300e+03,-40.3406
2.312e+03,-42.9
2.325e+03,-45.4594
2.338e+03,-42.3188
2.350e+03,-39.175
2.362e+03,-41.8344
2.375e+03,-44.4906
2.388e+03,-47.9844
2.400e+03,-51.4781
2.412e+03,-43.6375
2.425e+03,-35.7969
2.438e+03,-37.3625
2.450e+03,-38.9281
2.462e+03,-38.7
2.475e+03,-38.4688
2.488e+03,-38.4688
2.500e+03,-38.4688
2.512e+03,-43.4688
2.525e+03,-48.4688
2.538e+03,-42.1344
2.550e+03,-35.7969
2.562e+03,-38.0688
2.575e+03,-40.3406
2.588e+03,-40.3406
2.600e+03,-40.3406
2.612e+03,-37.9
2.625e+03,-35.4594
2.638e+03,-36.3969
2.650e+03,-37.3312
2.662e+03,-35.9125
2.675e+03,-34.4906
2.688e+03,-36.8344
2.700e+03,-39.175
2.712e+03,-37.6719
2.725e+03,-36.1656
2.738e+03,-35.3719
2.750e+03,-34.5781
2.762e+03,-37.0094
2.775e+03,-39.4375
2.788e+03,-38.1469
2.800e+03,-36.8563
2.812e+03,-37.6625
2.825e+03,-38.4688
2.838e+03,-38.8219
2.850e+03,-39.175
2.862e+03,-38.3375
2.875e+03,-37.5
2.888e+03,-40.9969
2.900e+03,-44.4906
2.912e+03,-43.2156
2.925e+03,-41.9375
2.938e+03,-42.1938
2.950e+03,-42.45
2.962e+03,-43.4719
2.975e+03,-44.4906
2.988e+03,-42.4156
3.000e+03,-40.3406
3.012e+03,-45.9094
3.025e+03,-51.4781
3.038e+03,-45.3281
3.050e+03,-39.175
3.062e+03,-41.8344
3.075e+03,-44.4906
3.088e+03,-44.975
3.100e+03,-45.4594
3.112e+03,-43.4688
3.125e+03,-41.4781
3.138e+03,-41.9656
3.150e+03,-42.45
3.162e+03,-42.45
3.175e+03,-42.45
3.188e+03,-39.975
3.200e+03,-37.5
3.212e+03,-44.4906
3.225e+03,-51.4781
3.238e+03,-44.4062
3.250e+03,-37.3312
3.262e+03,-41.3969
3.275e+03,-45.4594
3.288e+03,-45.4594
3.300e+03,-45.4594
3.312e+03,-41.4813
3.325e+03,-37.5
3.338e+03,-41.4813
3.350e+03,-45.4594
3.362e+03,-42.45
3.375e+03,-39.4375
3.388e+03,-40.4594
3.400e+03,-41.4781
3.412e+03,-44.975
3.425e+03,-48.4688
3.438e+03,-46.4813
3.450e+03,-44.4906
3.462e+03,-42.9844
3.475e+03,-41.4781
3.488e+03,-44.975
3.500e+03,-48.4688
3.512e+03,-42.3188
3.525e+03,-36.1656
3.538e+03,-38.8219
3.550e+03,-41.4781
3.562e+03,-39.4062
3.575e+03,-37.3312
3.588e+03,-38.2531
3.600e+03,-39.175
3.612e+03,-38.3375
3.625e+03,-37.5
3.638e+03,-37.1781
3.650e+03,-36.8563
3.662e+03,-44.1688
3.675e+03,-51.4781
3.688e+03,-43.6375
3.700e+03,-35.7969
3.712e+03,-38.6375
3.725e+03,-41.4781
3.738e+03,-39.4906
3.750e+03,-37.5
3.762e+03,-37.9844
3.775e+03,-38.4688
3.788e+03,-41.9656
3.800e+03,-45.4594
3.812e+03,-40.4594
3.825e+03,-35.4594
3.838e+03,-38.7
3.850e+03,-41.9375
3.862e+03,-39.7188
3.875e+03,-37.5
3.888e+03,-37.1781
3.900e+03,-36.8563
3.912e+03,-38.6
3.925e+03,-40.3406
3.938e+03,-38.9219
3.950e+03,-37.5
3.962e+03,-39.4906
3.975e+03,-41.4781
3.988e+03,-40.9094
4.000e+03,-40.3406
4.012e+03,-40.3406
4.025e+03,-40.3406
4.038e+03,-45.9094
4.050e+03,-51.4781
4.062e+03,-46.4781
4.075e+03,-41.4781
4.088e+03,-41.7094
4.100e+03,-41.9375
4.112e+03,-46.7094
4.125e+03,-51.4781
4.138e+03,-44.4906
4.150e+03,-37.5
4.162e+03,-38.9219
4.175e+03,-40.3406
4.188e+03,-40.3406
4.200e+03,-40.3406
4.212e+03,-39.4062
4.225e+03,-38.4688
4.238e+03,-41.4813
4.250e+03,-44.4906
4.262e+03,-41.8344
4.275e+03,-39.175
4.288e+03,-38.2531
4.300e+03,-37.3312
4.312e+03,-40.9125
4.325e+03,-44.4906
4.338e+03,-39.7188
4.350e+03,-34.9469
4.362e+03,-35.5562
4.375e+03,-36.1656
4.388e+03,-35.7594
4.400e+03,-35.3531
4.412e+03,-36.1063
4.425e+03,-36.8563
4.438e+03,-44.1688
4.450e+03,-51.4781
4.462e+03,-43.4688
4.475e+03,-35.4594
4.488e+03,-37.9
4.500e+03,-40.3406
4.512e+03,-37.9
4.525e+03,-35.4594
4.538e+03,-35.4594
4.550e+03,-35.4594
4.562e+03,-38.9562
4.575e+03,-42.45
4.588e+03,-38.3438
4.600e+03,-34.2375
4.612e+03,-36.3531
4.625e+03,-38.4688
4.638e+03,-39.4062
4.650e+03,-40.3406
4.662e+03,-38.9219
4.675e+03,-37.5
4.688e+03,-39.4906
4.700e+03,-41.4781
