Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-8.5625
1.250e+01,-1.02187
2.500e+01,6.52188
3.750e+01,12.0844
5.000e+01,17.65
6.250e+01,16.6406
7.500e+01,15.6313
8.750e+01,6.73125
1.000e+02,-2.16562
1.125e+02,-12.3531
1.250e+02,-22.5375
1.375e+02,-14.525
1.500e+02,-6.50937
1.625e+02,-3.42188
1.750e+02,-0.334375
1.875e+02,-3.425
2.000e+02,-6.5125
2.125e+02,-18.1312
2.250e+02,-29.7469
2.375e+02,-31.2687
2.500e+02,-32.7875
2.625e+02,-22.2937
2.750e+02,-11.7969
2.875e+02,-10.8812
3.000e+02,-9.96562
3.125e+02,-15.5406
3.250e+02,-21.1156
3.375e+02,-25.4906
3.500e+02,-29.8656
3.625e+02,-28.6
3.750e+02,-27.3312
3.875e+02,-21.6594
4.000e+02,-15.9875
4.125e+02,-16.8312
4.250e+02,-17.6719
4.375e+02,-25.4125
4.500e+02,-33.1531
4.625e+02,-33
4.750e+02,-32.8469
4.875e+02,-28.9375
5.000e+02,-25.025
5.125e+02,-22.4469
5.250e+02,-19.8656
5.375e+02,-22.7281
5.500e+02,-25.5906
5.625e+02,-28.5156
5.750e+02,-31.4375
5.875e+02,-34.3844
6.000e+02,-37.3312
6.125e+02,-31.6125
6.250e+02,-25.8937
6.375e+02,-24.5094
6.500e+02,-23.1219
6.625e+02,-31.15
6.750e+02,-39.175
6.875e+02,-36.8344
7.000e+02,-34.4906
7.125e+02,-34.9219
7.250e+02,-35.3531
7.375e+02,-31.5063
7.500e+02,-27.6594
7.625e+02,-27.3281
7.750e+02,-26.9937
7.875e+02,-32.2469
8.000e+02,-37.5
8.125e+02,-37.5
8.250e+02,-37.5
8.375e+02,-36.4813
8.500e+02,-35.4594
8.625e+02,-32.3188
8.750e+02,-29.175
8.875e+02,-32.0625
9.000e+02,-34.9469
9.125e+02,-36.225
9.250e+02,-37.5
9.375e+02,-39.7188
9.500e+02,-41.9375
9.625e+02,-38.2156
9.750e+02,-34.4906
9.875e+02,-31.9656
1.000e+03,-29.4375
1.012e+03,-38.9531
1.025e+03,-48.4688
1.038e+03,-43.7
1.050e+03,-38.9281
1.062e+03,-38.1313
1.075e+03,-37.3312
1.088e+03,-35.9125
1.100e+03,-34.4906
1.112e+03,-33.8219
1.125e+03,-33.1531
1.138e+03,-35.8125
1.150e+03,-38.4688
1.162e+03,-38.9531
1.175e+03,-39.4375
1.188e+03,-40.6875
1.200e+03,-41.9375
1.212e+03,-38.2156
1.225e+03,-34.4906
1.238e+03,-39.4906
1.250e+03,-44.4906
1.262e+03,-40.3281
1.275e+03,-36.1656
1.288e+03,-40.8125
1.300e+03,-45.4594
1.312e+03,-44.975
1.325e+03,-44.4906
1.338e+03,-39.4906
1.350e+03,-34.4906
1.362e+03,-39.975
1.375e+03,-45.4594
1.388e+03,-42.1938
1.400e+03,-38.9281
1.412e+03,-43.7
1.425e+03,-48.4688
1.438e+03,-43.8219
1.450e+03,-39.175
1.462e+03,-38.8219
1.475e+03,-38.4688
1.488e+03,-38.8219
1.500e+03,-39.175
1.512e+03,-41.8344
1.525e+03,-44.4906
1.538e+03,-44.975
1.550e+03,-45.4594
1.562e+03,-43.7
1.575e+03,-41.9375
1.588e+03,-46.7094
1.600e+03,-51.4781
1.612e+03,-45.9094
1.625e+03,-40.3406
1.638e+03,-41.1406
1.650e+03,-41.9375
1.662e+03,-41.9375
1.675e+03,-41.9375
1.688e+03,-38.4438
1.700e+03,-34.9469
1.712e+03,-39.7188
1.725e+03,-44.4906
1.738e+03,-41.8344
1.750e+03,-39.175
1.762e+03,-40.5562
1.775e+03,-41.9375
1.788e+03,-41.7094
1.800e+03,-41.4781
1.812e+03,-41.4781
1.825e+03,-41.4781
1.838e+03,-40.4594
1.850e+03,-39.4375
1.862e+03,-41.9656
1.875e+03,-44.4906
1.888e+03,-47.9844
1.900e+03,-51.4781
1.912e+03,-44.1688
1.925e+03,-36.8563
1.938e+03,-44.1688
1.950e+03,-51.4781
1.962e+03,-45.4594
1.975e+03,-39.4375
1.988e+03,-41.9656
2.000e+03,-44.4906
2.012e+03,-44.4906
2.025e+03,-44.4906
2.038e+03,-44.4906
2.050e+03,-44.4906
2.062e+03,-47.9844
2.075e+03,-51.4781
2.088e+03,-47.9844
2.100e+03,-44.4906
2.112e+03,-44.975
2.125e+03,-45.4594
2.138e+03,-43.7
2.150e+03,-41.9375
2.162e+03,-46.7094
2.175e+03,-51.4781
2.188e+03,-47.9844
2.200e+03,-44.4906
2.212e+03,-46.4813
2.225e+03,-48.4688
2.238e+03,-48.4688
2.250e+03,-48.4688
2.262e+03,-43.4688
2.275e+03,-38.4688
2.288e+03,-41.9656
2.300e+03,-45.4594
2.312e+03,-46.9656
2.325e+03,-48.4688
2.338e+03,-48.4688
2.350e+03,-48.4688
2.362e+03,-49.975
2.375e+03,-51.4781
2.388e+03,-49.975
2.400e+03,-48.4688
2.412e+03,-49.975
2.425e+03,-51.4781
2.438e+03,-51.4781
2.450e+03,-51.4781
2.462e+03,-51.4781
2.475e+03,-51.4781
2.488e+03,-47.9844
2.500e+03,-44.4906
2.512e+03,-47.9844
2.525e+03,-51.4781
2.538e+03,-48.4688
2.550e+03,-45.4594
2.562e+03,-48.4688
2.575e+03,-51.4781
2.588e+03,-48.4688
2.600e+03,-45.4594
2.612e+03,-48.4688
2.625e+03,-51.4781
2.638e+03,-49.975
2.650e+03,-48.4688
2.662e+03,-45.4594
2.675e+03,-42.45
2.688e+03,-46.9656
2.700e+03,-51.4781
2.712e+03,-45.3281
2.725e+03,-39.175
2.738e+03,-45.3281
2.750e+03,-51.4781
2.762e+03,-51.4781
2.775e+03,-51.4781
2.788e+03,-51.4781
2.800e+03,-51.4781
2.812e+03,-51.4781
2.825e+03,-51.4781
2.838e+03,-46.9656
2.850e+03,-42.45
2.862e+03,-46.9656
2.875e+03,-51.4781
2.888e+03,-45.9094
2.900e+03,-40.3406
2.912e+03,-45.9094
2.925e+03,-51.4781
2.938e+03,-47.9844
2.950e+03,-44.4906
2.962e+03,-46.4813
2.975e+03,-48.4688
2.988e+03,-46.9656
3.000e+03,-45.4594
3.012e+03,-41.3969
3.025e+03,-37.3312
3.038e+03,-39.4062
3.050e+03,-41.4781
3.062e+03,-46.4781
3.075e+03,-51.4781
3.088e+03,-47.9844
3.100e+03,-44.4906
3.112e+03,-47.9844
3.125e+03,-51.4781
3.138e+03,-48.4688
3.150e+03,-45.4594
3.162e+03,-44.975
3.175e+03,-44.4906
3.188e+03,-43.4719
3.200e+03,-42.45
3.212e+03,-46.9656
3.225e+03,-51.4781
3.238e+03,-46.4781
3.250e+03,-41.4781
3.262e+03,-44.975
3.275e+03,-48.4688
3.288e+03,-48.4688
3.300e+03,-48.4688
3.312e+03,-44.4062
3.325e+03,-40.3406
3.338e+03,-45.9094
3.350e+03,-51.4781
3.362e+03,-51.4781
3.375e+03,-51.4781
3.388e+03,-48.4688
3.400e+03,-45.4594
3.412e+03,-43.9562
3.425e+03,-42.45
3.438e+03,-46.9656
3.450e+03,-51.4781
3.462e+03,-45.3281
3.475e+03,-39.175
3.488e+03,-45.3281
3.500e+03,-51.4781
3.512e+03,-48.4688
3.525e+03,-45.4594
3.538e+03,-44.975
3.550e+03,-44.4906
3.562e+03,-46.4813
3.575e+03,-48.4688
3.588e+03,-44.975
3.600e+03,-41.4781
3.612e+03,-41.4781
3.625e+03,-41.4781
3.638e+03,-41.9656
3.650e+03,-42.45
3.662e+03,-40.8125
3.675e+03,-39.175
3.688e+03,-40.5562
3.700e+03,-41.9375
3.712e+03,-45.2031
3.725e+03,-48.4688
3.738e+03,-45.4594
3.750e+03,-42.45
3.762e+03,-42.1938
3.775e+03,-41.9375
3.788e+03,-45.2031
3.800e+03,-48.4688
3.812e+03,-46.4813
3.825e+03,-44.4906
3.838e+03,-44.975
3.850e+03,-45.4594
3.862e+03,-46.9656
3.875e+03,-48.4688
3.888e+03,-49.975
3.900e+03,-51.4781
3.912e+03,-51.4781
3.925e+03,-51.4781
3.938e+03,-47.9844
3.950e+03,-44.4906
3.962e+03,-46.4813
3.975e+03,-48.4688
3.988e+03,-46.4813
4.000e+03,-44.4906
4.012e+03,-44.975
4.025e+03,-45.4594
4.038e+03,-43.4688
4.050e+03,-41.4781
4.062e+03,-41.9656
4.075e+03,-42.45
4.088e+03,-40.8125
4.100e+03,-39.175
4.112e+03,-40.3281
4.125e+03,-41.4781
4.138e+03,-40.3281
4.150e+03,-39.175
4.162e+03,-42.3188
4.175e+03,-45.4594
4.188e+03,-48.4688
4.200e+03,-51.4781
4.212e+03,-47.9844
4.225e+03,-44.4906
4.238e+03,-44.4906
4.250e+03,-44.4906
4.262e+03,-47.9844
4.275e+03,-51.4781
4.288e+03,-46.4781
4.300e+03,-41.4781
4.312e+03,-40.4594
4.325e+03,-39.4375
4.338e+03,-43.9531
4.350e+03,-48.4688
4.362e+03,-48.4688
4.375e+03,-48.4688
4.388e+03,-44.4062
4.400e+03,-40.3406
4.412e+03,-44.4062
4.425e+03,-48.4688
4.438e+03,-44.4062
4.450e+03,-40.3406
4.462e+03,-42.4156
4.475e+03,-44.4906
4.488e+03,-47.9844
4.500e+03,-51.4781
4.512e+03,-47.9844
4.525e+03,-44.4906
4.538e+03,-47.9844
4.550e+03,-51.4781
4.562e+03,-46.9656
4.575e+03,-42.45
4.588e+03,-46.9656
4.600e+03,-51.4781
4.612e+03,-46.4781
4.625e+03,-41.4781
4.638e+03,-41.4781
4.650e+03,-41.4781
4.662e+03,-46.4781
4.675e+03,-51.4781
4.688e+03,-47.9844
4.700e+03,-44.4906
