Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
0.000e+00,-8.55937
1.250e+01,3.89688
2.500e+01,16.3531
3.750e+01,22.0188
5.000e+01,27.6875
6.250e+01,26.8656
7.500e+01,26.0438
8.750e+01,17.7844
1.000e+02,9.525
1.125e+02,2.55313
1.250e+02,-4.41562
1.375e+02,3.65625
1.500e+02,11.7313
1.625e+02,15.2594
1.750e+02,18.7875
1.875e+02,16.3438
2.000e+02,13.9031
2.125e+02,5.09063
2.250e+02,-3.71875
2.375e+02,-5.78125
2.500e+02,-7.84062
2.625e+02,1.40313
2.750e+02,10.6469
2.875e+02,12.3813
3.000e+02,14.1156
3.125e+02,10.0188
3.250e+02,5.92188
3.375e+02,0.74375
3.500e+02,-4.43125
3.625e+02,-4.71562
3.750e+02,-4.99687
3.875e+02,2.46563
4.000e+02,9.93125
4.125e+02,9.96875
4.250e+02,10.0063
4.375e+02,4.65313
4.500e+02,-0.696875
4.625e+02,-2.55937
4.750e+02,-4.41875
4.875e+02,-2.61563
5.000e+02,-0.8125
5.125e+02,4
5.250e+02,8.81563
5.375e+02,7.35
5.500e+02,5.88438
5.625e+02,0.484375
5.750e+02,-4.91562
5.875e+02,-5.125
6.000e+02,-5.33438
6.125e+02,-1.81875
6.250e+02,1.7
6.375e+02,4.45
6.500e+02,7.20312
6.625e+02,4.32188
6.750e+02,1.44063
6.875e+02,-1.62812
7.000e+02,-4.69687
7.125e+02,-6.55313
7.250e+02,-8.40625
7.375e+02,-2.73125
7.500e+02,2.94688
7.625e+02,4.04375
7.750e+02,5.14062
7.875e+02,0.93125
8.000e+02,-3.27812
8.125e+02,-3.8125
8.250e+02,-4.34375
8.375e+02,-6.75625
8.500e+02,-9.16875
8.625e+02,-2.84375
8.750e+02,3.48125
8.875e+02,2.80625
9.000e+02,2.13438
9.125e+02,-1.47187
9.250e+02,-5.07812
9.375e+02,-5.10625
9.500e+02,-5.13125
9.625e+02,-5.16875
9.750e+02,-5.20312
9.875e+02,-1.0625
1.000e+03,3.08125
1.012e+03,0.91875
1.025e+03,-1.24375
1.038e+03,-3.3
1.050e+03,-5.35312
1.062e+03,-5.95938
1.075e+03,-6.5625
1.088e+03,-4.31562
1.100e+03,-2.06562
1.112e+03,-0.225
1.125e+03,1.61563
1.138e+03,-1.2625
1.150e+03,-4.14062
1.162e+03,-4.50312
1.175e+03,-4.8625
1.188e+03,-7.01562
1.200e+03,-9.16875
1.212e+03,-5.05313
1.225e+03,-0.934375
1.238e+03,-0.63125
1.250e+03,-0.328125
1.262e+03,-3.48125
1.275e+03,-6.63125
1.288e+03,-5.475
1.300e+03,-4.31875
1.312e+03,-7.64375
1.325e+03,-10.9688
1.338e+03,-5.8
1.350e+03,-0.63125
1.362e+03,-1.79375
1.375e+03,-2.95625
1.388e+03,-4.53437
1.400e+03,-6.10938
1.412e+03,-5.96875
1.425e+03,-5.82812
1.438e+03,-6.98125
1.450e+03,-8.13125
1.462e+03,-4.60312
1.475e+03,-1.075
1.488e+03,-3.71562
1.500e+03,-6.35625
1.512e+03,-5.71875
1.525e+03,-5.08125
1.538e+03,-6.66875
1.550e+03,-8.25312
1.562e+03,-6.625
1.575e+03,-4.99375
1.588e+03,-3.8625
1.600e+03,-2.72812
1.612e+03,-4.9375
1.625e+03,-7.14375
1.638e+03,-6.125
1.650e+03,-5.10312
1.662e+03,-7.95938
1.675e+03,-10.8156
1.688e+03,-7.34687
1.700e+03,-3.875
1.712e+03,-4.47187
1.725e+03,-5.06562
1.738e+03,-6.09687
1.750e+03,-7.12812
1.762e+03,-6.19062
1.775e+03,-5.25312
1.788e+03,-8.6625
1.800e+03,-12.0719
1.812e+03,-8.13125
1.825e+03,-4.1875
1.838e+03,-5.63125
1.850e+03,-7.07187
1.862e+03,-6.60625
1.875e+03,-6.14062
1.888e+03,-6.32187
1.900e+03,-6.5
1.912e+03,-8.34062
1.925e+03,-10.1781
1.938e+03,-7.65937
1.950e+03,-5.14062
1.962e+03,-7.09062
1.975e+03,-9.0375
1.988e+03,-7.09062
2.000e+03,-5.14062
2.012e+03,-7.5125
2.025e+03,-9.88125
2.038e+03,-8.91875
2.050e+03,-7.95312
2.062e+03,-7.34687
2.075e+03,-6.74063
2.088e+03,-7.60625
2.100e+03,-8.47187
2.112e+03,-6.87812
2.125e+03,-5.28437
2.138e+03,-9.38125
2.150e+03,-13.4781
2.162e+03,-10.2344
2.175e+03,-6.9875
2.188e+03,-8.17812
2.200e+03,-9.36562
2.212e+03,-8.19375
2.225e+03,-7.01875
2.238e+03,-6.69062
2.250e+03,-6.3625
2.262e+03,-10.2937
2.275e+03,-14.225
2.288e+03,-11.025
2.300e+03,-7.82187
2.312e+03,-9.00937
2.325e+03,-10.1937
2.338e+03,-8.17188
2.350e+03,-6.14688
2.362e+03,-7.04062
2.375e+03,-7.93437
2.388e+03,-9.93125
2.400e+03,-11.925
2.412e+03,-10.8375
2.425e+03,-9.75
2.438e+03,-10.0062
2.450e+03,-10.2594
2.462e+03,-7.9125
2.475e+03,-5.56562
2.488e+03,-8.45937
2.500e+03,-11.3531
2.512e+03,-11.3625
2.525e+03,-11.3719
2.538e+03,-11.0719
2.550e+03,-10.7719
2.562e+03,-9.68125
2.575e+03,-8.59062
2.588e+03,-7.19687
2.600e+03,-5.8
2.612e+03,-11.0406
2.625e+03,-16.2781
2.638e+03,-13.4781
2.650e+03,-10.6781
2.662e+03,-11.8344
2.675e+03,-12.9906
2.688e+03,-10.0375
2.700e+03,-7.08125
2.712e+03,-7.4
2.725e+03,-7.71875
2.738e+03,-12.8812
2.750e+03,-18.0437
2.762e+03,-14.9906
2.775e+03,-11.9375
2.788e+03,-12.4
2.800e+03,-12.8625
2.812e+03,-9.57187
2.825e+03,-6.27812
2.838e+03,-8.2125
2.850e+03,-10.1469
2.862e+03,-12.7687
2.875e+03,-15.3906
2.888e+03,-15.1937
2.900e+03,-14.9969
2.912e+03,-12.4906
2.925e+03,-9.98125
2.938e+03,-8.2375
2.950e+03,-6.49063
2.962e+03,-9.86875
2.975e+03,-13.2437
2.988e+03,-14.2656
3.000e+03,-15.2844
3.012e+03,-15.8156
3.025e+03,-16.3438
3.038e+03,-12.3844
3.050e+03,-8.42188
3.062e+03,-7.64062
3.075e+03,-6.85938
3.088e+03,-12.7625
3.100e+03,-18.6625
3.112e+03,-17.425
3.125e+03,-16.1875
3.138e+03,-15.3594
3.150e+03,-14.5281
3.162e+03,-10.8438
3.175e+03,-7.15937
3.188e+03,-7.96562
3.200e+03,-8.76875
3.212e+03,-16.1906
3.225e+03,-23.6094
3.238e+03,-20.725
3.250e+03,-17.8375
3.262e+03,-15.6031
3.275e+03,-13.3687
3.288e+03,-9.84687
3.300e+03,-6.32187
3.312e+03,-9.17188
3.325e+03,-12.0219
3.338e+03,-16.9062
3.350e+03,-21.7875
3.362e+03,-20.9312
3.375e+03,-20.075
3.388e+03,-14.9531
3.400e+03,-9.83125
3.412e+03,-8.58125
3.425e+03,-7.33125
3.438e+03,-11.9969
3.450e+03,-16.6625
3.462e+03,-18.7562
3.475e+03,-20.85
3.488e+03,-21.0469
3.500e+03,-21.2406
3.512e+03,-14.7719
3.525e+03,-8.3
3.538e+03,-8.52187
3.550e+03,-8.74375
3.562e+03,-14.9812
3.575e+03,-21.2156
3.588e+03,-22.4344
3.600e+03,-23.6531
3.612e+03,-19.5125
3.625e+03,-15.3719
3.638e+03,-11.7062
3.650e+03,-8.0375
3.662e+03,-9.19062
3.675e+03,-10.3406
3.688e+03,-23.9219
3.700e+03,-37.5
3.712e+03,-34.0063
3.725e+03,-30.5094
3.738e+03,-21.4531
3.750e+03,-12.3937
3.762e+03,-9.82187
3.775e+03,-7.25
3.788e+03,-10.9031
3.800e+03,-14.5562
3.812e+03,-27.5344
3.825e+03,-40.5094
3.838e+03,-33.3937
3.850e+03,-26.2781
3.862e+03,-18.3219
3.875e+03,-10.3656
3.888e+03,-9.29688
3.900e+03,-8.22812
3.912e+03,-13.3156
3.925e+03,-18.4
3.938e+03,-30.9594
3.950e+03,-43.5187
3.962e+03,-32.8375
3.975e+03,-22.1531
3.988e+03,-15.375
4.000e+03,-8.59687
4.012e+03,-9.66875
4.025e+03,-10.7375
4.038e+03,-16.8062
4.050e+03,-22.875
4.062e+03,-26.2094
4.075e+03,-29.5406
4.088e+03,-22.2063
4.100e+03,-14.8687
4.112e+03,-11.6906
4.125e+03,-8.50937
4.138e+03,-10.4531
4.150e+03,-12.3937
4.162e+03,-22.3875
4.175e+03,-32.3813
4.188e+03,-30.9625
4.200e+03,-29.5406
4.212e+03,-20.9625
4.225e+03,-12.3812
4.238e+03,-10.725
4.250e+03,-9.06875
4.262e+03,-12.7125
4.275e+03,-16.3531
4.288e+03,-19.75
4.300e+03,-23.1469
4.312e+03,-23.3125
4.325e+03,-23.4781
4.338e+03,-17.1062
4.350e+03,-10.7344
4.362e+03,-10.1906
4.375e+03,-9.64687
4.388e+03,-15.6594
4.400e+03,-21.6719
4.412e+03,-21.9281
4.425e+03,-22.1844
4.438e+03,-21.7
4.450e+03,-21.2156
4.462e+03,-15.35
4.475e+03,-9.48125
4.488e+03,-11.1437
4.500e+03,-12.8031
4.512e+03,-16.6344
4.525e+03,-20.4656
4.538e+03,-21.425
4.550e+03,-22.3812
4.562e+03,-19.175
4.575e+03,-15.9688
4.588e+03,-12.65
4.600e+03,-9.33125
4.612e+03,-12.3094
4.625e+03,-15.2844
4.638e+03,-18.0687
4.650e+03,-20.85
4.662e+03,-21.8625
4.675e+03,-22.875
4.688e+03,-17.4562
4.700e+03,-12.0344
4.712e+03,-11.4312
4.725e+03,-10.825
